,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,D,2021-10-05 18:44:42,2021-10-04, AAPL,Williams Jeffrey E,COO,S - Sale+OE,$138.83,"-165,829","489,490",-25%,"-$23,022,040",,,,
1,D,2021-10-05 18:43:32,2021-10-04, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$138.83,"-89,437","136,118",-40%,"-$12,416,539",,,,
2,D,2021-08-26 18:30:46,2021-08-25, AAPL,Cook Timothy D,CEO,S - Sale+OE,$148.58,"-2,386,440","3,279,726",-42%,"-$354,568,479",,,,
3,D,2021-08-09 18:30:51,2021-08-06, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$145.99,"-14,877","136,118",-10%,"-$2,171,893",,,,
4,,2021-08-04 18:30:53,2021-08-02, AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$145.89,"-17,000","307,164",-5%,"-$2,480,048",,,,
5,,2021-05-05 18:31:41,2021-05-03, AAPL,Maestri Luca,"SVP, CFO",S - Sale,$132.81,"-121,072","110,501",-52%,"-$16,079,338",,,,
6,,2021-05-05 18:30:33,2021-05-03, AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$132.80,"-17,000","328,174",-5%,"-$2,257,631",,,,
7,D,2021-04-19 18:31:41,2021-04-16, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$134.01,"-18,216","136,118",-12%,"-$2,441,126",,,,
8,D,2021-04-05 18:36:12,2021-04-05, AAPL,Williams Jeffrey E,COO,S - Sale+OE,$125.74,"-133,867","489,490",-21%,"-$16,832,437",,,,
9,D,2021-02-03 18:36:19,2021-02-02, AAPL,Levinson Arthur D,Dir,S - Sale+OE,$135.60,"-3,416","4,588,724",0%,"-$463,210",,,,
10,,2021-02-03 18:30:45,2021-02-01, AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$133.75,"-17,000","316,581",-5%,"-$2,273,749",,,,
11,,2020-11-05 18:30:55,2020-11-03, AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$110.42,"-17,000","306,396",-5%,"-$1,877,109",,,,
12,D,2020-10-19 18:32:33,2020-10-16, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$119.80,"-31,200","135,888",-19%,"-$3,737,869",,,,
13,D,2020-10-19 18:30:33,2020-10-16, AAPL,Kondo Chris,Principal Accounting Officer,S - Sale+OE,$121.34,"-14,840","26,876",-36%,"-$1,800,686",,,,
14,,2020-10-13 18:30:27,2020-10-09, AAPL,Maestri Luca,"SVP, CFO",S - Sale,$116.89,"-243,431","110,272",-69%,"-$28,454,650",,,,
15,D,2020-10-05 18:33:56,2020-10-02, AAPL,Williams Jeffrey E,COO,S - Sale+OE,$113.59,"-257,343","489,260",-34%,"-$29,232,596",,,,
16,D,2020-08-25 18:45:23,2020-08-25, AAPL,Cook Timothy D,CEO,S - Sale+OE,$496.91,"-265,160","837,374",-24%,"-$131,761,779",,,,
17,,2020-05-12 18:30:32,2020-05-08, AAPL,Kondo Chris,Principal Accounting Officer,S - Sale,$305.62,"-4,491","7,370",-38%,"-$1,372,539",,,,
18,D,2020-04-17 18:31:43,2020-04-16, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$285.12,"-9,137","33,972",-21%,"-$2,605,141",,,,
19,,2020-04-09 18:30:47,2020-04-07, AAPL,Maestri Luca,"SVP, CFO",S - Sale,$264.44,"-41,062","27,568",-60%,"-$10,858,445",,,,
20,D,2020-04-03 18:31:43,2020-04-02, AAPL,Williams Jeffrey E,COO,S - Sale+OE,$241.44,"-41,062","122,315",-25%,"-$9,914,186",,,,
21,D,2020-02-04 18:34:47,2020-02-03, AAPL,Levinson Arthur D,Dir,S - Sale+OE,$304.11,"-1,429","1,147,283",0%,"-$434,573",,,,
22,D,2019-11-07 18:30:21,2019-11-05, AAPL,Levinson Arthur D,Dir,S - Sale+OE,$257.79,"-37,394","1,147,283",-3%,"-$9,639,799",,,,
23,D,2019-10-17 18:32:58,2019-10-16, AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$234.04,"-12,459","33,852",-27%,"-$2,915,904",,,,
24,D,2019-10-17 18:31:19,2019-10-16, AAPL,Kondo Chris,Principal Accounting Officer,S - Sale+OE,$233.26,"-3,932","8,212",-32%,"-$917,178",,,,
